Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
BCC,HNX,Cổ phiếu CTCP Xi măng Bỉm Sơn,BimSon Cement JSC,http://ximangbimson.com.vn,http://ximangbimson.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000BCC4,5800,Đang giao dịch
BCF,HNX,CTCP Thuc Pham Bich Chi,Bich Chi Food Company,http://bichchi.com.vn,http://bichchi.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000BCF7,36000,Đang giao dịch
BED,HNX,Cổ phiếu CTCP Sách và Thiết bị trường học đà Nẵng,Danang Books and School Equipment JSC,https://danangbook.com,https://danangbook.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000BED8,23600,Đang giao dịch
BKC,HNX,Cổ phiếu CTCP Khoáng sản Bắc Kạn,Bac Kan Mineral Joint Stock Corporation,https://backanmineral.com.vn,https://backanmineral.com.vn/co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000BKC7,12700,Đang giao dịch
BNA,HNX,Công ty cổ phần Tập đoàn Đầu tư Bảo Ngọc,Bao Ngoc Investment Production Corporation,https://baongoc.vn,https://baongoc.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000BNA5,1900,Tạm ngừng / Khác
BPC,HNX,Công ty cổ phần Vicem Bao bì Bỉm Sơn,Vicem Packaging Bim Son Joint Stock Company,https://baobibimson.vn,https://baobibimson.vn/co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000BPC6,13400,Đang giao dịch
BTS,HNX,Công ty cổ phần Xi măng Vicem Bút Sơn,Vicem But Son Cement Joint Stock Company,https://vicembutson.com.vn,https://vicembutson.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000BTS4,4700,Đang giao dịch
BTW,HNX,Cổ phiếu CTCP Cấp nước Bến Thành,Ben Thanh Water Supply Joint Stock Company,http://capnuocbenthanh.com,http://capnuocbenthanh.com/quan-he-co-dong,Tiện ích cộng đồng,Nước & Xử lý chất thải,VN000000BTW6,99000,Đang giao dịch
BVS,HNX,Chứng khoán CTCP chứng khoán Bảo Việt,Bao Viet Securities Joint Stock Company,https://bvsc.com.vn,https://bvsc.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000BVS0,28200,Đang giao dịch
BXH,HNX,Công ty cổ phần Vicem Bao bì Hải Phòng,Haiphong Packing VICEM Joint Stock Company,https://hpvc.com.vn,https://hpvc.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000BXH9,12000,Đang giao dịch
C69,HNX,CTCP Xay dung 1369,1369 Construction Joint Stock Company,https://c69.vn,https://c69.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000C697,16900,Đang giao dịch
CAG,HNX,CTCP Cảng An Giang,An Giang Port Joint-Stock Company,https://angiangport.com.vn,https://angiangport.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000CAG7,5900,Đang giao dịch
CAN,HNX,Cổ phiếu CTCP Đồ hộp Hạ Long,Halong Canned Food Joint Stock Corporation,https://halongcanfoco.com,https://halongcanfoco.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000CAN3,20600,Đang giao dịch
CAP,HNX,Cổ phiếu CTCP Lâm nông sản thực phẩm Yên Bái,Yen Bai Joint Stock Forest Agricultural Products and Foodstuff Company,http://yfatuf.com.vn,http://yfatuf.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000CAP8,42400,Đang giao dịch
CAR,HNX,CTCP Tap doan Giao duc Tri Viet,Tri Viet Education Group Joint Stock Company,https://trivietgroup.edu.vn,https://trivietgroup.edu.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000CAR4,19600,Đang giao dịch
CCR,HNX,CTCP Cang Cam Ranh,Cam Ranh Port JSC,https://camranhport.vn,https://camranhport.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000CCR0,14300,Đang giao dịch
CDN,HNX,CTCP Cang Da Nang,Danang Port Joint Stock Company,https://danangport.com,https://danangport.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000CDN7,25400,Đang giao dịch
CEO,HNX,Công ty cổ phần Tập đoàn C.E.O,C.E.O Group Joint Stock Company,https://ceogroup.com.vn,https://ceogroup.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000CEO3,12600,Đang giao dịch
CET,HNX,Công ty Cổ phần HTC Holding,HTC Holding Joint Stock Company,https://cetholding.vn,https://cetholding.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000CET2,3300,Tạm ngừng / Khác
CIA,HNX,CTCP Dich vu San bay Quoc te Cam Ranh,Cam Ranh International Airport Services JSC,https://cias.vn,https://cias.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CIA3,9300,Đang giao dịch
CJC,HNX,Cổ phiếu CTCP Cơ điện Miền Trung,Central Area Electrical Mechanical JSC,http://cemc.com.vn,http://cemc.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000CJC7,19800,Đang giao dịch
CKV,HNX,Công ty cổ phần Cokyvina,COKYVINA JSC,http://cokyvina.com.vn,http://cokyvina.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000CKV5,13000,Đang giao dịch
CLH,HNX,CTCP Xi mang La Hien VVMI,La Hien Cement Joint Stock Company,http://ximanglahien.com.vn,http://ximanglahien.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CLH2,20100,Đang giao dịch
CLM,HNX,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,Vinacomin - Coal Import Export Joint Stock Company,https://clm.vn,https://clm.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000CLM2,56000,Đang giao dịch
CMC,HNX,Cổ phiếu CTCP đầu tư CMC,CMC Investment JSC,http://cmci.com.vn,http://cmci.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CMC1,8700,Đang giao dịch
CMS,HNX,Công ty Cổ phần Tập đoàn CMH Việt Nam,CMH Vietnam Group JSC,https://cmhgroup.vn,https://cmhgroup.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000CMS7,5400,Đang giao dịch
CPC,HNX,Cổ phiếu CTCP Thuốc sát trùng Cần Thơ,Can Tho Pesticides Joint Stock Company,http://tstcantho.com.vn,http://tstcantho.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000CPC4,15500,Đang giao dịch
CSC,HNX,Công ty Cổ phần Tập đoàn COTANA,COTANA GROUP Joint Stock Company,https://cotanagroup.vn,https://cotanagroup.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000CSC8,9300,Đang giao dịch
CST,HNX,CTCP Than Cao Sơn - TKV,Cao Son Coal Joint Stock Company,https://caosoncoal.vn,https://caosoncoal.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000CST2,10000,Đang giao dịch
CTB,HNX,CTCP Che tao Bom Hai Duong,Hai Duong Pump Manufacturing JSC,https://pmh.com.vn,https://pmh.com.vn/co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000CTB8,16100,Đang giao dịch
CTP,HNX,Công ty cổ phần Tập đoàn CTP Group,CTP Group Corporation,https://ctpgroupvietnam.com,https://ctpgroupvietnam.com/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000CTP8,6700,Đang giao dịch
CTT,HNX,Công ty cổ phần chế tạo máy - Vinacomin,Vinacomin - Machinery Joint Stock Company,https://chetaomay.com.vn,https://chetaomay.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000CTT0,15900,Đang giao dịch
CX8,HNX,Cổ phiếu CTCP Đầu tư và Xây lắp Constrexim số 8,CONSTREXIM No. 8 Investment and Construction JSC,http://constrexim8.com.vn,http://constrexim8.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000CX86,9500,Đang giao dịch
D11,HNX,Cổ phiếu Công ty Cổ phần Địa ốc 11,Real Estate 11 JSC,https://diaoc11.com.vn,https://diaoc11.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000D117,11300,Đang giao dịch
DAD,HNX,Cổ phiếu CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Da Nang Education Development and Investment JSC,http://iseebooks.vn,http://iseebooks.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Truyền thông & Xuất bản,VN000000DAD2,13500,Đang giao dịch
DAE,HNX,Cổ phiếu CTCP Sách giáo dục tại Tp Đà Nẵng,Educational Book JSC In Da Nang City,https://sachgiaoduc.com,https://sachgiaoduc.com/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000DAE0,14200,Đang giao dịch
DC2,HNX,Cổ phiếu CTCP Đầu tư phát triển- Xây dựng (DIC) Số 2,Development Investment Construction Number 2 JSC,https://dic2.vn,https://dic2.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000DC23,6200,Đang giao dịch
DHP,HNX,Cổ phiếu Công ty cổ phần điện cơ Hải Phòng,Hai Phong Electrical Mechanical JSC,https://dhp.com.vn,https://dhp.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000DHP1,10300,Đang giao dịch
DHT,HNX,Cổ phiếu CTCP Dược phẩm Hà Tây,HaTay Pharmaceutical JSC,https://hataphar.com.vn,https://hataphar.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DHT3,55500,Đang giao dịch
DIH,HNX,Cổ phiếu CTCP Đầu tư Phát triển Xây dựng Hội An,Development Investment Construction Hoi An JSC,https://dichoian.vn,https://dichoian.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000DIH6,7200,Đang giao dịch
DL1,HNX,Công ty cổ phần Tập đoàn Alpha Seven,Alpha Seven Group Joint Stock Company,https://a7group.vn,https://a7group.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000DL14,4300,Đang giao dịch
DNC,HNX,cổ phiếu CTCP Điện nước lắp máy Hải Phòng,Hai Phong Electricity Water Machine Assembly Joint Stock Company,https://diennuochp.com.vn,https://diennuochp.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000DNC7,49000,Đang giao dịch
DNP,HNX,Công ty Cổ phần DNP Holding,DNP Holding JSC,https://dnpcorp.vn,https://dnpcorp.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000DNP9,20000,Đang giao dịch
DP3,HNX,Công ty Cổ phần Dược phẩm Trung ương 3,Central Pharmaceutical Joint Stock Company No3,https://duocphamtw3.com,https://duocphamtw3.com/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DP36,61500,Đang giao dịch
DS3,HNX,Công ty Cổ phần DS3,DS3 Joint Stock Company,https://ds3.vn,https://ds3.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DS33,4500,Đang giao dịch
DST,HNX,CTCP Dau Tu Sao Thang Long,Sao Thang Long Investment Joint Stock Company,https://saothanglong.vn,https://saothanglong.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000DST0,7600,Đang giao dịch
DTD,HNX,CTCP Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development JSC,https://thanhdatcorp.com.vn,https://thanhdatcorp.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000DTD2,11100,Đang giao dịch
DTG,HNX,DTG- CTCP Duoc pham tipharco,Tipharco Pharmaceutical Joint Stock Company,https://tipharco.vn,https://tipharco.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DTG5,13000,Đang giao dịch
DTK,HNX,CTCP - Tong cong ty Dien luc TKV,Vinacomin - Power Holding Corporation,http://dienluctkv.vn,http://dienluctkv.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DTK7,10700,Đang giao dịch
DVM,HNX,CTCP Dược Liệu Việt Nam,Vietnam Medicinal Materials Joint Stock Company,https://duoclieuvietnam.com.vn,https://duoclieuvietnam.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DVM9,4500,Đang giao dịch
DXP,HNX,Công ty Cổ phần Cảng Đoạn Xá,Doan Xa Port JSC,https://doanxaport.com.vn,https://doanxaport.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000DXP8,13700,Đang giao dịch
EBS,HNX,Cổ phiếu CTCP Sách giáo dục tại Tp Hà Nội,Educational Book JSC in Hanoi City,http://sachgiaoduchanoi.vn,http://sachgiaoduchanoi.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Truyền thông & Xuất bản,VN000000EBS6,10400,Đang giao dịch
ECI,HNX,Công ty Cổ phần Tập đoàn ECI,Education Cartography and Illustration JSC,https://ecigroup.com.vn,https://ecigroup.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000ECI5,9200,Tạm ngừng / Khác
EID,HNX,Cổ phiếu CTCP Đầu tư và Phát triển Giáo dục Hà Nội,Hanoi Education Development and Investment JSC,https://heid.vn,https://heid.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000EID3,19100,Đang giao dịch
EVS,HNX,Công ty cổ phần chứng khoán Everest,Everest Securities Joint Stock Company,https://eves.com.vn,https://eves.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000EVS4,4900,Đang giao dịch
FID,HNX,CTCP Dau tu va Phat trien Doanh nghiep Viet Nam,Vietnam Enterprise Investment and Development JSC,http://vndi.vn,http://vndi.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000FID0,1400,Tạm ngừng / Khác
GDW,HNX,Cổ phiếu CTCP Cấp nước Gia Định,Gia Dinh Water Supply Joint Stock Company,https://capnuocgiadinh.vn,https://capnuocgiadinh.vn/quan-he-co-dong,Tiện ích cộng đồng,Nước & Xử lý chất thải,VN000000GDW9,30200,Đang giao dịch
GIC,HNX,Công ty Cổ phần VSC Green Logistics,VSC Green Logistics Joint Stock Company,https://greenicd.com.vn,https://greenicd.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000GIC0,11700,Đang giao dịch
GKM,HNX,Công ty Cổ phần GKM Holdings,GKM Holdings Joint Stock Company,https://khangminhgroup.com,https://khangminhgroup.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000GKM5,1100,Tạm ngừng / Khác
GLT,HNX,Cổ phiếu CTCP Kỹ thuật Điện Toàn Cầu,Global Electrical Technology Corp.,https://glt.com.vn,https://glt.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000GLT8,29300,Đang giao dịch
GMA,HNX,Công ty Cổ phần G-Automobile,"G-AUTOMOBILE ., JSC",https://g-automobile.vn,https://g-automobile.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000GMA6,57000,Đang giao dịch
GMX,HNX,Cổ phiếu Công ty Cổ phần Gạch ngói Gốm Xây dựng Mỹ Xuân,My Xuan Brick Tile Pottery and Construction,https://myxuan-ceramic.com.vn,https://myxuan-ceramic.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000GMX8,17200,Đang giao dịch
HAD,HNX,Cổ phiếu CTCP Bia Hà Nội - Hải Dương,Hanoi – Hai Duong Beer JSC,https://biaduong.com.vn,https://biaduong.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000HAD3,13100,Đang giao dịch
HAT,HNX,Cổ phiếu CTCP Thương mại Bia Hà Nội,Hanoi Beer Trading JSC,http://biahoihanoi.com.vn,http://biahoihanoi.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000HAT9,28200,Đang giao dịch
HBS,HNX,HBS - CTCP Chứng khoán Hòa bình,Hoa Binh Securities JSC,https://hbse.com.vn,https://hbse.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000HBS9,3700,Tạm ngừng / Khác
HCC,HNX,Công ty cổ phần Bê tông Hòa Cầm - ITEMEX,Hoa Cam Concrete JSC,http://betonghoacam.com.vn,http://betonghoacam.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HCC1,23100,Đang giao dịch
HCT,HNX,Cổ phiếu  CTCP Thương mại - Dịch vụ - Vận tải Xi Măng Hải Phòng.,Hai Phong Cement Transport and Trading JSC,https://vtxmhp.com,https://vtxmhp.com/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HCT5,10600,Đang giao dịch
HDA,HNX,HDA - CTCP Hãng sơn Đông Á,DONG A Paint JSC,https://dongapaints.com.vn,https://dongapaints.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000HDA3,6700,Đang giao dịch
HEV,HNX,Công Ty cổ phần sách đại học - dạy nghề,Higher Educational and Vocational Book JSC,https://hevobooks.com,https://hevobooks.com/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Truyền thông & Xuất bản,VN000000HEV7,7300,Đang giao dịch
HGM,HNX,Cổ phiếu CTCP Cơ khí và Khoáng sản Hà Giang,Ha Giang Mineral and Mechanics JSC,https://hgm.vn,https://hgm.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000HGM1,109800,Đang giao dịch
HHC,HNX,Cổ phiếu CTCP Bánh kẹo Hải Hà,Haiha Confectionery JSC,http://haihaco.com.vn,http://haihaco.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000HHC0,76300,Đang giao dịch
HJS,HNX,Cổ phiếu CTCP Thuỷ điện Nậm Mu,Nam Mu Hydropower JSC,https://thuydiennammu.com.vn,https://thuydiennammu.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000HJS2,25300,Đang giao dịch
HKT,HNX,Công ty cổ phần QP Holdings,QP Holdings Joint Stock Company,https://qpxanh.com.vn,https://qpxanh.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000HKT8,13800,Đang giao dịch
HLC,HNX,Công ty cổ phần Than Hà Lầm - Vinacomin,Vinacomin - HaLam Coal JSC,https://halamcoal.com.vn,https://halamcoal.com.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000HLC2,10100,Đang giao dịch
HLD,HNX,Công ty cổ phần đầu tư và Phát triển Bất Động sản HUDLAND,HUDLAND Real Estate Investment and Development Joint Stock Company,http://hudland.com.vn,http://hudland.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000HLD0,13800,Đang giao dịch
HMH,HNX,HMH - CTCP Hải Minh,Hai Minh Corporation,https://haiminh.com.vn,https://haiminh.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000HMH9,16200,Đang giao dịch
HMR,HNX,Công ty cổ phần Đá Hoàng Mai,Hoang Mai Stone Joint Stock Company,https://rcchoangmai.vn,https://rcchoangmai.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HMR8,9500,Đang giao dịch
HOM,HNX,Công ty Cổ phần Xi măng Vicem Hoàng Mai,VICEM Hoang Mai Cement JSC,https://ximanghoangmai.vn,https://ximanghoangmai.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000HOM5,3900,Đang giao dịch
HTC,HNX,Cổ phiếu CTCP Thương mại Hóc Môn,HocMon Trade JSC,http://hotraco.com.vn,http://hotraco.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000HTC5,28000,Đang giao dịch
HUT,HNX,Cổ phiếu CTCP Tasco,Tasco JSC,http://tasco.com.vn,http://tasco.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000HUT7,12900,Đang giao dịch
HVT,HNX,Cổ phiếu Công ty Cổ phần Hóa chất Việt Trì,Viet Tri Chemicals JSC,https://vitrichem.vn,https://vitrichem.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000HVT5,23300,Đang giao dịch
ICG,HNX,Cổ phiếu CTCP Xây dựng Sông Hồng,Song Hong construction Joint Stock Company (INCOMEX),https://incomex.com.vn,https://incomex.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000ICG0,10000,Đang giao dịch
IDC,HNX,Tổng Công ty IDICO - CTCP,IDICO Corporation - JSC,https://idico.com.vn,https://idico.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000IDC7,31000,Đang giao dịch
IDJ,HNX,Công ty Cổ phần Đầu tư IDJ Việt Nam,IDJ Vietnam Investment Joint Stock Company,http://idjf.vn,http://idjf.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000IDJ2,3600,Đang giao dịch
IDV,HNX,IDV - Công ty Cổ phần Phát triển hạ tầng Vĩnh Phúc,Vinh Phuc Infrastructure Development Joint Stock Company,https://vpid.com.vn,https://vpid.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000IDV7,20800,Đang giao dịch
INC,HNX,Cổ phiếu CTCP Tư vấn đầu tư IDICO,IDICO Investment Consultancy JSC,https://idico-incon.com.vn,https://idico-incon.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000INC6,12000,Đang giao dịch
INN,HNX,Cổ phiếu CTCP Bao bì và In Nông nghiệp,Agriculture Printing and Packaging JSC,https://appprintco.com,https://appprintco.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000INN3,36300,Đang giao dịch
IPA,HNX,CTCP Tap doan dau tu I.P.A,I.P.A Investment Group JSC,https://ipa.com.vn,https://ipa.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000IPA5,13200,Đang giao dịch
ITQ,HNX,Cổ phiếu Công ty cổ phần Tập đoàn Thiên Quang,Thien Quang Group JSC,http://inoxthienquang.com.vn,http://inoxthienquang.com.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000ITQ3,2500,Đang giao dịch
IVS,HNX,Công ty Cổ phần Chứng khoán Guotai Haitong (Việt Nam),GUOTAI HAITONG SECURITIES (VIETNAM) CORP.,https://gtjai.com.vn,https://gtjai.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000IVS5,6400,Đang giao dịch
KDM,HNX,Công ty cổ phần Tập đoàn GCL,GCL Group Joint Stock Company,https://gclgroup.vn,https://gclgroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000KDM2,21100,Đang giao dịch
KHS,HNX,Công ty cổ phần Kiên Hùng,Kien Hung Joint Stock Company,http://kihuseavn.com,http://kihuseavn.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000KHS0,12900,Đang giao dịch
KKC,HNX,Công ty cổ phần Tập đoàn Thành Thái,Thanh Thai Group Joint Stock Company,https://thanhthaigroup.com.vn,https://thanhthaigroup.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000KKC8,6000,Đang giao dịch
KMT,HNX,Công ty Cổ phần Kim Khí Miền Trung,Central Vietnam Metal Corporation,https://cevimetal.com.vn,https://cevimetal.com.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000KMT8,13200,Đang giao dịch
KSD,HNX,Công ty Cổ phần Đầu tư DNA,DNA Investment Joint Stock Company,http://hangermetal.com,http://hangermetal.com/quan-he-co-dong,Tài chính,Ngân hàng,VN000000KSD9,5800,Đang giao dịch
KSF,HNX,Công ty Cổ phần Tập đoàn Sunshine,Sunshine Group JSC,https://sunshinegroup.vn,https://sunshinegroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000KSF4,82400,Đang giao dịch
KST,HNX,Công ty Cổ phần KASATI,KASATI JSC,http://kasati.com.vn,http://kasati.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000KST5,12400,Đang giao dịch
KSV,HNX,Tong Cong ty Khoang san TKV-CTCP,Vinacomin - Minerals Holding Corporation,https://vimico.vn,https://vimico.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000KSV1,111200,Đang giao dịch
KTS,HNX,Cổ phiếu CTCP Đường Kon Tum,Kon Tum Sugar JSC,http://ktsduongkontum.vn,http://ktsduongkontum.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000KTS5,21000,Đang giao dịch
L14,HNX,L14 - Công ty Cổ phần LICOGI 14,Licogi 14 JSC,https://licogi14.vn,https://licogi14.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000L144,19500,Đang giao dịch
L18,HNX,Công ty cổ phần Đầu tư và Xây dựng số 18,Investment and Construction JSC No.18,https://licogi18.com.vn,https://licogi18.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000L185,14800,Đang giao dịch
L40,HNX,Công ty cổ phần đầu tư và xây dựng 40,40 Investment and Construction Joint Stock Company,https://l40.com.vn,https://l40.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000L409,20600,Đang giao dịch
LAS,HNX,Cổ phiếu Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Lam Thao Fertilizers & Chemicals Joint Stock Company,https://supelamthao.vn,https://supelamthao.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000LAS3,11900,Đang giao dịch
LBE,HNX,Công ty cổ phần Thương mại và Dịch vụ LVA,LVA Trading and Services JSC,https://lva.com.vn,https://lva.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Truyền thông & Xuất bản,VN000000LBE1,14900,Đang giao dịch
LCD,HNX,Công ty cổ phần Lắp máy - Thí nghiệm Cơ Điện,Erection Electromechanics Testing JSC,https://emetc.com.vn,https://emetc.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000LCD1,19600,Đang giao dịch
LDP,HNX,Cổ phiếu CTCP Dược Lâm Đồng - Ladophar,Lam Dong Pharmaceutical JSC,https://ladophar.com,https://ladophar.com/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000LDP3,7900,Đang giao dịch
LHC,HNX,Cổ phiếu CTCP Đầu tư và xây dựng thủy lợi Lâm Đồng,Lam Dong investment hydraulic construction JSC,https://lhc.com.vn,https://lhc.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000LHC2,46900,Đang giao dịch
