Mã CK,Tên Doanh Nghiệp,Tên thương hiệu / Viết tắt,Sàn giao dịch,Ngành ICB Cấp 1 (Industry),Ngành ICB Cấp 2 (Supersector),Ngành ICB Cấp 3 (Sector),Ngành ICB Cấp 4 (Subsector),Mã Phân Ngành (ICB Code L4),Nguồn tham khảo (Source),Trang chủ (Website),Cổng thông tin IR (Quan hệ CĐ)
DHG,Công ty Cổ phần Dược Hậu Giang,Dược Hậu Giang,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://dhgpharma.com.vn,https://dhgpharma.com.vn/quan-he-co-dong
DHM,Công ty Cổ phần Đầu tư và Thương mại DHM,Đầu tư và Thương mại DHM,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,https://dhmjsc.vn,https://dhmjsc.vn/quan-he-co-dong
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,DIC Corp,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://dic.vn,https://dic.vn/quan-he-co-dong
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Đức Long Gia Lai,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://duclonggroup.com,http://duclonggroup.com/quan-he-co-dong
DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm DOMESCO,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://domesco.com,https://domesco.com/quan-he-co-dong
DMX,Công ty Cổ phần Đầu tư Điện Máy Xanh,Đầu tư Điện Máy Xanh,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,5373,FiinPro / Vietcap IQ & Sở GDCK,https://dmx.vn,https://dmx.vn/quan-he-co-dong
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Tập đoàn Đạt Phương,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://datphuong.com.vn,https://datphuong.com.vn/quan-he-co-dong
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,https://dpm.vn,https://dpm.vn/quan-he-co-dong
DPR,Công ty Cổ phần Cao su Đồng Phú,Cao su Đồng Phú,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,http://doruco.com.vn,http://doruco.com.vn/quan-he-co-dong
DQC,Công ty Cổ phần Tập đoàn Điện Quang,Tập đoàn Điện Quang,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,3726,FiinPro / Vietcap IQ & Sở GDCK,https://dqc.vn,https://dqc.vn/quan-he-co-dong
DRC,Công ty Cổ phần Cao su Đà Nẵng,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,3357,FiinPro / Vietcap IQ & Sở GDCK,https://drc.com.vn,https://drc.com.vn/quan-he-co-dong
DRH,Công ty Cổ phần DRH Holdings,DRH Holdings,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://drh.vn,https://drh.vn/quan-he-co-dong
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,https://pc3hp.com.vn,https://pc3hp.com.vn/quan-he-co-dong
DSC,Công ty Cổ phần Chứng khoán DSC,Chứng khoán DSC,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://dsc.com.vn,https://dsc.com.vn/quan-he-co-dong
DSE,Công ty Cổ phần Chứng khoán DNSE,Chứng Khoán DNSE,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://dnse.com.vn,https://dnse.com.vn/quan-he-co-dongEIBNg
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí,5755,FiinPro / Vietcap IQ & Sở GDCK,https://damsenwaterpark.com.vn,https://damsenwaterpark.com.vn/quan-he-co-dong
DTA,Công ty Cổ phần Đệ Tam,BĐS Đệ Tam,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,http://detamland.com,http://detamland.com/quan-he-co-dong
DTL,Công ty Cổ phần Đại Thiên Lộc,Đại Thiên Lộc,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,http://daithienloc.com.vn,http://daithienloc.com.vn/quan-he-co-dong
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,http://dothanhtech.com,http://dothanhtech.com/quan-he-co-dong
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://dinhvuport.com.vn,https://dinhvuport.com.vn/quan-he-co-dong
DXG,Công ty Cổ phần Bluemarq Group,Bluemarq Group,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://datxanh.vn,https://datxanh.vn/quan-he-co-dong
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",8637,FiinPro / Vietcap IQ & Sở GDCK,https://datxanhservices.vn,https://datxanhservices.vn/quan-he-co-dong
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://coxiva.com.vn,http://coxiva.com.vn/quan-he-co-dong
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Eximbank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,FiinPro / Vietcap IQ & Sở GDCK,https://eximbank.com.vn,https://eximbank.com.vn/quan-he-nha-dau-tu
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,ELCOM,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Thiết bị và Phần cứng,Thiết bị viễn thông,9578,FiinPro / Vietcap IQ & Sở GDCK,https://elcom.com.vn,https://elcom.com.vn/quan-he-co-dong
EVE,Công ty Cổ phần Everpia,Everpia,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,https://everpia.vn,https://everpia.vn/quan-he-co-dong
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện Lực,Tài chính Tổng hợp Điện lực,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính cá nhân,8773,FiinPro / Vietcap IQ & Sở GDCK,http://evnfc.vn,http://evnfc.vn/quan-he-co-dong
EVG,Công ty Cổ phần Tập đoàn Everland,Tập đoàn Everland,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://everland.vn,https://everland.vn/quan-he-co-dong
FCM,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,Bê tông Phan Vũ Hà Nam,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://feconmining.com.vn,http://feconmining.com.vn/quan-he-co-dong
FCN,Công ty Cổ phần Tập đoàn FECON,FECON CORP,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://fecon.com.vn,https://fecon.com.vn/quan-he-co-dong
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,FIDECO,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://fideco.com.vn,https://fideco.com.vn/quan-he-co-dong
FIR,Công ty Cổ phần Địa ốc First Real,Địa ốc First Real,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://fir.vn,https://fir.vn/quan-he-co-dong
FIT,Công ty Cổ phần Tập đoàn F.I.T,Tập đoàn F.I.T,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://fitgroup.com.vn,https://fitgroup.com.vn/quan-he-co-dong
FMC,Công ty Cổ phần Thực phẩm Sao Ta,Thực phẩm Sao Ta,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://fimexvn.com,https://fimexvn.com/quan-he-co-dong
FPT,Công ty Cổ phần FPT,FPT Corp,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,9537,FiinPro / Vietcap IQ & Sở GDCK,https://fpt.com,https://fpt.com/vi/nha-dau-tu
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ FPT,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,5379,FiinPro / Vietcap IQ & Sở GDCK,https://fptretail.com.vn,https://fptretail.com.vn/quan-he-co-dong
FTS,Công ty Cổ phần Chứng khoán FPT,Chứng khoán FPT,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://fpts.com.vn,https://fpts.com.vn/quan-he-nha-dau-tuHDBNg
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,PV Gas,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,7573,FiinPro / Vietcap IQ & Sở GDCK,https://pvgas.com.vn,https://pvgas.com.vn/quan-he-co-dong
GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành,Gỗ Đức Thành,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,3726,FiinPro / Vietcap IQ & Sở GDCK,http://goducthanh.com,http://goducthanh.com/quan-he-co-dong
GEE,Công ty Cổ phần Điện lực Gelex,Điện lực Gelex,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2737,FiinPro / Vietcap IQ & Sở GDCK,https://gelex-electric.com,https://gelex-electric.com/quan-he-co-dong
GEG,Công ty Cổ phần Điện Gia Lai,Điện Gia Lai,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,https://gecc.com.vn,https://gecc.com.vn/quan-he-co-dong
GEL,Công ty Cổ phần Hạ tầng GELEX,Hạ tầng GELEX,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://gelex-infra.vn,https://gelex-infra.vn/quan-he-co-dong
GEX,Công ty Cổ phần Tập đoàn Gelex,Tập đoàn Gelex,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,2737,FiinPro / Vietcap IQ & Sở GDCK,https://gelex.vn,https://gelex.vn/quan-he-co-dong
GHC,Công ty Cổ phần Thủy điện Gia Lai,Thủy điện Gia Lai,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,https://ghc.vn,https://ghc.vn/quan-he-co-dong
GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,XNK Bình Thạnh,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://gilimex.com,http://gilimex.com/quan-he-co-dong
GMD,Công ty Cổ phần Tập đoàn Gemadept,Tập đoàn Gemadept,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://gemadept.com.vn,https://gemadept.com.vn/quan-he-co-dong
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,Minh Hưng Quảng Trị,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://minhhungqt.vn,https://minhhungqt.vn/quan-he-co-dong
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Vận tải Sản phẩm Khí Quốc tế,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,2773,FiinPro / Vietcap IQ & Sở GDCK,https://gasshipping.com.vn,https://gasshipping.com.vn/quan-he-co-dong
GTA,Công ty Cổ phần Chế biến Gỗ Thuận An,Gỗ Thuận An,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,1733,FiinPro / Vietcap IQ & Sở GDCK,https://gothuanan.vn,https://gothuanan.vn/quan-he-co-dong
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Tập đoàn CN Cao su VN,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,https://rubbergroup.vn,https://rubbergroup.vn/quan-he-co-dong
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Hoàng Anh Gia Lai,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://hagl.com.vn,https://hagl.com.vn/quan-he-co-dong
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Vận tải và Xếp dỡ Hải An,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://haianshipping.com,https://haianshipping.com/quan-he-co-dong
HAP,Công ty Cổ phần Tập Đoàn Hapaco,Tập đoàn Hapaco,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,1737,FiinPro / Vietcap IQ & Sở GDCK,http://hapaco.vn,http://hapaco.vn/quan-he-co-dong
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,BĐS An Dương Thảo Điền,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://adtdgroup.com,https://adtdgroup.com/quan-he-co-dong
HAS,Công ty Cổ phần Hacisco,Hacisco,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://has.vn,https://has.vn/quan-he-co-dong
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Ô tô Hàng Xanh,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,3353,FiinPro / Vietcap IQ & Sở GDCK,http://haxaco.com.vn,http://haxaco.com.vn/quan-he-co-dong
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,SX và Thương mại HCD,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,https://hcdgroup.com.vn,https://hcdgroup.com.vn/quan-he-co-dong
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Chứng khoán HSC,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://hsc.com.vn,https://hsc.com.vn/quan-he-nha-dau-tuLPBNg
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,HDBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,FiinPro / Vietcap IQ & Sở GDCK,https://hdbank.com.vn,https://ir.hdbank.com.vn
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Phát triển Nhà Bà Rịa Vũng Tàu,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://hodeco.vn,https://hodeco.vn/quan-he-co-dong
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Tập đoàn Hà Đô,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,https://hado.com.vn,https://hado.com.vn/quan-he-co-dong
HHP,Công ty Cổ phần HHP Global,HHP Global,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,1737,FiinPro / Vietcap IQ & Sở GDCK,https://hhpglobaljsc.com,https://hhpglobaljsc.com/quan-he-co-dong
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Đầu tư DV Hoàng Huy,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,3353,FiinPro / Vietcap IQ & Sở GDCK,http://hoanghuyhhs.vn,http://hoanghuyhhs.vn/quan-he-co-dong
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Đầu tư Hạ tầng Giao thông Đèo Cả,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://deoca.vn,https://deoca.vn/quan-he-co-dong
HID,Công ty Cổ phần Halcom Vietnam,Halcom Vietnam,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://halcom.vn,http://halcom.vn/quan-he-co-dong
HII,Công ty Cổ phần An Tiến Industries,An Tiến Industries,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,https://antienindustries.com,https://antienindustries.com/quan-he-co-dong
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Kim khí TP.HCM,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,https://metalhcm.com.vn,https://metalhcm.com.vn/quan-he-co-dong
HNA,Công ty Cổ phần Thủy điện Hủa Na,Thủy điện Hủa Na,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,http://huana.com.vn,http://huana.com.vn/quan-he-co-dong
HPA,Công ty Cổ phần Phát triển Nông nghiệp Hoà Phát,Phát triển Nông nghiệp Hoà Phát,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://nongnghiep.hoaphat.com.vn,https://nongnghiep.hoaphat.com.vn/quan-he-co-dong
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Hòa Phát,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,https://hoaphat.com.vn,https://hoaphat.com.vn/quan-he-co-dong
HPX,Công ty Cổ phần Đầu tư Hải Phát,Đầu tư Hải Phát,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://haiphat.com.vn,https://haiphat.com.vn/quan-he-co-dong
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,Địa ốc Hoàng Quân,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://hoangquan.com.vn,https://hoangquan.com.vn/quan-he-co-dong
HRC,Công ty Cổ phần Cao su Hòa Bình,Cao su Hòa Bình,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,http://horuco.com.vn,http://horuco.com.vn/quan-he-co-dong
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Tập đoàn Hoa Sen,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,FiinPro / Vietcap IQ & Sở GDCK,https://hoasengroup.vn,https://hoasengroup.vn/quan-he-co-dong
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Thực phẩm Hồng Hà,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,http://honghagroup.com.vn,http://honghagroup.com.vn/quan-he-co-dong
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,VICEM Hà Tiên,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://hatien1.com.vn,https://hatien1.com.vn/quan-he-co-dong
HTG,Tổng Công ty Cổ phần Dệt may Hòa Thọ,Dệt may Hòa Thọ,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://hoatho.com.vn,http://hoatho.com.vn/quan-he-co-dong
